title,file,url,text
View & Download,Proceeding%2003.01.2024_2.pdf,https://mcrohtak.in/sites/default/files/2025-09/Proceeding%2003.01.2024_2.pdf,"



























"
View & Download,proceeding%2017.11.2022_0.pdf,https://mcrohtak.in/sites/default/files/2025-09/proceeding%2017.11.2022_0.pdf,"fnukad 17-11-2022 dks izkr% 11%00 cts cSBd gky] Hkw& ry] ftyk fodkl Hkou dk;kZy;] jksgrd esa Jh eueksgu xks;y] egkikSj] uxj fuxe jksgrd dh v/;{krk esa lnu dh
lkekU; cSBd vk;ksftr dh xbZ] ftlesa fuEufyf[kr lnL; mifLFkr gq,%&
1.
Jh d`"".k dqekj lgjkor] lnL; okMZ ua0 01] uxj fuxe] jksgrdA
2.
Jherh lqeu jkuh] lnL; okMZ ua0&02] uxj fuxe] jksgrdA
3.
Jh frydjkt pkSgku] lnL; okMZ ua0&03] uxj fuxe] jksgrdA
4.
Jh /kesZUnz xqfy;k iIiu] lnL; okMZ ua0&04] uxj fuxe] jksgrdA
5.
Jherh xhrk] lnL; okM Z ua0&05] uxj fuxe] jksgrdA
6.
Jh lqjs’k pUnz] lnL; okMZ ua0 06] uxj fuxe] jksgrdA
7.
Jh lqfuy dqekj] lnL; okM Z ua0&08] uxj fuxe] jksgrdA
8.
Jh t;Hkxoku] lnL; okMZ ua0&09] uxj fuxe] jksgrdA
9.
Jh jkgqy ns’koky] lnL; okMZ ua0&10] uxj fuxe] jksgrdA
10.
Jh dne flag vgykor] lnL; okMZ ua0&11] uxj fuxe] jksgrdA
11.
Jherh eta w gqM~Mk] nL; okMZ ua0&12] uxj fuxe] jksgrdA
12.
Jherh dpa u] lnL; okM Z ua0&13] uxj fuxe] jksgrdA
13.
Jh jk/ks';ke] lnL; okMZ ua0&14] uxj fuxe] jksgrdA
14.
Jh xqy’ku dqekj bZ’kiqfu;kuh] lnL; okMZ ua0&15] uxj fuxe] jksgrdA
15.
Jherh fMEiy] lnL; okM Z u0a &16] uxj fuxe] jksgrdA
16.
Jh jktdey lgxy] ofj""B mies;j ,oa lnL; okMZ ua0 17] uxj fuxe] jksgrdA
17.
Jherh nhfidk] lnL; okMZ ua0&18] uxj fuxe] jksgrdA
18.
Jherh eqDrk] ] lnL; okM Z ua0&19] uxj fuxe] jksgrdA
19.
Jherh iwue] ] lnL; okMZ ua0&20] uxj fuxe] jksgrdA
20.
Jh vfuy dqekj] mies;j ,oa lnL; okM Z ua0&21] uxj fuxe] jksgrdA
21.
Jherh lra ks""k] lnL; okMZ ua0&22] uxj fuxe] jksgrdA
22.
Jh vfer caly] euksuhr lnL;] uxj fuxe] jksgrdA
23.
Jh jkts’k lSuh] euksuhr lnL;] uxj fuxe] jksgrdA
[1]
loZizFke v/;{k egksn; us cSBd esa mifLFkr lHkh lnL;ksa rFkk vf/kdkfj;ksa dk Lokxr fd;k rRi’pkr~ uxj fuxe ds iwoZ jkT;iky Jh /kfud yky eaMy o iwoZ
fMIVh es;j Jh v’kksd HkkVh th ds fu/ku gksus ij mudh vkRek dh 'kkafr ds fy, 02 feuV dk ekSu j[kdj izkFkZuk dh xbzZA
dz0 ,tsUMk fu.kZ;
la0
1. ftyk mik;qDr] jksgrd ds ek/;e ls Ministry of Home Affairs }kjk jksgrd esa NDRF dk Regional bl ckjs vk;qDr uxj fuxe@egkikSj egksn; o
cukus d s fy, uxj fuxe jksgrd {ks= esa 05 ,dM+ Hkwfe lqukfj;ka dyka xkao esa lEcfU/kr okMZ ik""kZn }kjk iqu% fopkj foe’kZ djus
Response Centre
miyC/k djokus ckjs izLrko bl dk;kZy; esa izkIr gqvk gSA vr% izLrko lnu esa fopkjkFkZ ,oa fu.kZ;kFkZ mijkar vkxkeh cSBd esa j[ks tkus ckjs fu.kZ; fy;k
izLrqr gSA x;k
2. mik;qDr] jksgrd ds ek/;e ls Art & Cultural Affairs Department }kjk jksgrd esa Regional Centre bl ckjs vk;qDr uxj fuxe@egkikSj egksn; o
cukus ds fy, uxj fuxe jksgrd {ks= esa 05 ,dM+ Hkwfe lqukfj;ka dyka xkao esa lEcfU/kr okMZ ik""kZn }kjk iqu% fopkj foe’kZ djus
Haryana Kala Parishad
miyC/k djokus ckjs izLrko bl dk;kZy; esa izkIr gqvk gSA vr% izLrko lnu esa fopkjkFkZ ,oa fu.kZ;kFkZ mijkar vkxkeh cSBd esa j[ks tkus ckjs fu.kZ; fy;k
izLrqr gSA x;k
3. Regarding layout plans of unauthorized colonies prepared by Town & Country loZlEefr ls Lohd`r djrs gq, fu.kZ; fy;k x;k fd
Planning Department in respect of the Haryana Management of Civic Amenities and 15 fnu esa dkyksfu;ksa dk MkVk uD’ks esa vf/kd`r o
Infrastructure Deficient Municipal Areas (Special Provisions) Act 2016. vukf/kd`r dkyksfu;ks vulq kj vyx&2 jax Hkjdj
lEcfU/kr Hkou fujh{kd ds ek/;e ls lacafU/kr
fnukad 18-02-2020 dk s uxj fuxe lnu dh lkekU; cSBd esa loZlEefr ls izLrko
ik""kZn dks miyC/k djok;saxsA ik""kZn 7 fnu esa mDr
Lohd`r fd;k x;k Fkk fd uxj fuxe jksgrd dh lhek esa fLFkr lHkh voS/k dkyksfu;ksa dk losZ djokdj
MkVk dks Hkou fujh{kd ds lkFk fopkj foe’kZ djds
mUgssa fu;fer djokus ds fy, dsl ljdkj dks Hkstus ckjs izLrko ikfjr fd;k x;k FkkA
ubZ tksMh tkuh okyh dkyksfu;k ;fn gS rks viuh
gfj;k.kk ljdkj }kjk jkT; ds lHkh uxj fuxe@ifj""kn@ikfydk dks i= dzekad
jk; izdV djsaxsA lnu }kjk egkikSj egksn; dks bl
fnukad 08-05-2022 o i= dzekad fnukad
DULB/TP/2022/3709-3822 DULB/TP/2022/3121-3234
iwjh izfdz;k ds fy, vf/kd`r fd;k x;kA lgk;d
04-05-2022 ds rgr vkns’k fn;s gS fd funs’kky; }kjk Hksth xbZ] Vkm.u dUVªh Iykfuax foHkkx]
uxj ;kstukdkj uxj fuxe jksgrd] ftyk uxj
gfj;k.kk }kjk losZ dh xbZ dkyksfu;ksa dh lwfp dks Civic Amenities and Infrastructure Deficient
[2]
Municipal Areas (Special Provision Act 2016) ds rgr lnu esa dkyksfu;ksa ds ekufp=@lwph o vU; ;kstukdkj o egkikSj egksn; ls leUo; LFkkfir
nLrkost dk izLrko ljdkj }kjk tkjh iksyhlh fnukad 14-02-2022 esa fn, x, fu;e o ’krksZ dks ;fn djrs gq, fu;ekuqlkj vko’;d dk;Zokgh djsaxsA
